cell_id	0	1	2	3	4	5	6	7	8	9
K562-1-2	1.0	8.851741818492921e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46	6.246612717684216e-46
K562-1-3	1.0	1.2057225181702731e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36	1.205709256059325e-36
K562-1-6	1.0	3.3826055574208994e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25	3.8604262208603417e-25
K562-1-7	1.0	6.89688845614697e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22	6.896812573175158e-22
K562-1-8	1.0	8.679765540461581e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60	8.05575206904826e-60
K562-1-SC3	1.0	9.512704938350028e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33	9.513826903303869e-33
K562-2-1	0.999999999866759	1.6041106499595275e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11	1.4651469962022117e-11
K562-4-1	1.0	6.295104930382661e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153	9.343390797477273e-153
K562-4-2	1.0	1.360906461790567e-130	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131	4.929341242193805e-131
K562-4-3	1.0	3.137913098942327e-73	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74	9.147024735116065e-74
K562-4-6	1.0	2.4616539904979165e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94	2.1608840882383865e-94
K562-4-7	1.0	4.954956746749102e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80	3.2761149496121094e-80
K562-pool34-A-TAGCTT	1.0	2.138899785613112e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92	2.294503818160805e-92
K562-pool34-B-ACTTGA	1.0	1.0418032497319669e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103	1.788167868477632e-103
K562-pool34-C-GCCAAT	1.0	3.5522342960436507e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81	6.625861567492801e-81
K562-pool34-D-CGATGT	1.0	2.2426577749374767e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47	7.287547354016563e-47
K562-pool34-F-ATCACG	1.0	2.1751838074243454e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136	3.5168751886166425e-136
K562-pool34-G-TGACCA	1.0	7.83960191799906e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93	3.5946816563128302e-93
K562-pool34-H-CAGATC	1.0	7.331198429048834e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192	7.084314780358976e-192
K562-pool34-I-CTTGTA	1.0	7.509218070476753e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82	5.548337910704505e-82
