converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	508439.908109229	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/0/cluster_posteriors.tsv.gz	16	161	1	NA	NA	NA	NA	NA	NA	NA
1	508456.925714908	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/1/cluster_posteriors.tsv.gz	15	160	2	NA	NA	NA	NA	NA	NA	NA
1	508439.908109229	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/10/cluster_posteriors.tsv.gz	15	159	1	NA	NA	NA	NA	NA	NA	NA
1	512034.300985706	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/100/cluster_posteriors.tsv.gz	12	155	5	NA	NA	NA	NA	NA	NA	NA
1	508440.175533972	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/101/cluster_posteriors.tsv.gz	2	153	1	NA	NA	NA	NA	NA	NA	NA
1	506391.158166782	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/102/cluster_posteriors.tsv.gz	5	156	2	NA	NA	NA	NA	NA	NA	NA
1	508460.3793982	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/103/cluster_posteriors.tsv.gz	10	154	4	NA	NA	NA	NA	NA	NA	NA
1	510998.981022027	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/104/cluster_posteriors.tsv.gz	10	154	5	NA	NA	NA	NA	NA	NA	NA
1	514544.995216175	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/105/cluster_posteriors.tsv.gz	12	155	6	NA	NA	NA	NA	NA	NA	NA
1	511947.293786202	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/106/cluster_posteriors.tsv.gz	14	155	5	NA	NA	NA	NA	NA	NA	NA
1	524840.322528764	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/107/cluster_posteriors.tsv.gz	34	158	9	NA	NA	NA	NA	NA	NA	NA
1	505612.144927543	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_basic/108/cluster_posteriors.tsv.gz	5	154	2	NA	NA	NA	NA	NA	NA	NA
