converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	507941.207911263	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	350	303	1	NA	NA	NA	NA	NA	NA	NA
1	500755.270486991	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/93/cluster_posteriors.tsv.gz	143	294	2	NA	NA	NA	NA	NA	NA	1
1	496983.565817235	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/22/cluster_posteriors.tsv.gz	534	303	3	NA	NA	NA	NA	NA	NA	0.00884955752212389
1	494056.83604378	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/23/cluster_posteriors.tsv.gz	681	304	4	NA	NA	NA	NA	NA	NA	0
1	491895.423947498	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/24/cluster_posteriors.tsv.gz	755	304	5	NA	NA	NA	NA	NA	NA	0
1	490542.942648622	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/25/cluster_posteriors.tsv.gz	697	303	6	NA	NA	NA	NA	NA	NA	0
1	488998.896177226	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/26/cluster_posteriors.tsv.gz	761	303	7	NA	NA	NA	NA	NA	NA	0
1	486313.497455326	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/27/cluster_posteriors.tsv.gz	840	304	8	NA	NA	NA	NA	NA	NA	0
1	485631.461609533	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/28/cluster_posteriors.tsv.gz	862	302	9	NA	NA	NA	NA	NA	NA	0
1	483640.93317828	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/29/cluster_posteriors.tsv.gz	912	303	10	NA	NA	NA	NA	NA	NA	0
