converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	507941.207911263	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	350	303	1	NA	NA	NA	NA	NA	NA	NA
1	507942.426415621	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/1/cluster_posteriors.tsv.gz	343	304	2	NA	NA	NA	NA	NA	NA	NA
1	507941.207911263	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/10/cluster_posteriors.tsv.gz	357	302	1	NA	NA	NA	NA	NA	NA	NA
1	499161.759292984	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/100/cluster_posteriors.tsv.gz	327	296	5	NA	NA	NA	NA	NA	NA	0
1	499286.787732125	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/101/cluster_posteriors.tsv.gz	251	295	4	NA	NA	NA	NA	NA	NA	0
1	499484.776176336	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	481	295	6	NA	NA	NA	NA	NA	NA	0
1	501268.749294434	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/103/cluster_posteriors.tsv.gz	576	294	7	NA	NA	NA	NA	NA	NA	0
1	500020.07838172	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/104/cluster_posteriors.tsv.gz	659	293	8	NA	NA	NA	NA	NA	NA	0
1	497079.558015672	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/105/cluster_posteriors.tsv.gz	491	295	6	NA	NA	NA	NA	NA	NA	0
1	498396.156466447	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/106/cluster_posteriors.tsv.gz	383	295	5	NA	NA	NA	NA	NA	NA	0
1	501979.311253808	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_out_hg38/cluster/0_0.95_10000/epi_region/107/cluster_posteriors.tsv.gz	99	285	2	NA	NA	NA	NA	NA	NA	1
