converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	132522.884608094	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/0/cluster_posteriors.tsv.gz	26	131	2	NA	NA	NA	NA	NA	NA	NA
1	121654.605175413	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/1/cluster_posteriors.tsv.gz	11	131	3	NA	NA	NA	NA	NA	NA	NA
1	132522.884608094	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/10/cluster_posteriors.tsv.gz	26	131	2	NA	NA	NA	NA	NA	NA	NA
1	100924.663717909	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/100/cluster_posteriors.tsv.gz	7	129	4	NA	NA	NA	NA	NA	NA	NA
1	101902.424211706	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/101/cluster_posteriors.tsv.gz	12	130	5	NA	NA	NA	NA	NA	NA	NA
1	100643.147862893	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/102/cluster_posteriors.tsv.gz	12	128	6	NA	NA	NA	NA	NA	NA	NA
1	99947.7454631029	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/103/cluster_posteriors.tsv.gz	19	130	6	NA	NA	NA	NA	NA	NA	NA
1	101887.844299615	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/104/cluster_posteriors.tsv.gz	4	129	3	NA	NA	NA	NA	NA	NA	NA
1	101925.968014324	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/105/cluster_posteriors.tsv.gz	15	131	5	NA	NA	NA	NA	NA	NA	NA
1	95611.9253713389	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/106/cluster_posteriors.tsv.gz	27	131	8	NA	NA	NA	NA	NA	NA	NA
1	101995.719703713	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/107/cluster_posteriors.tsv.gz	11	129	4	NA	NA	NA	NA	NA	NA	NA
1	101887.844299615	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/108/cluster_posteriors.tsv.gz	4	130	3	NA	NA	NA	NA	NA	NA	NA
1	96875.8382436281	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/109/cluster_posteriors.tsv.gz	31	131	7	NA	NA	NA	NA	NA	NA	NA
1	121685.620956166	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/11/cluster_posteriors.tsv.gz	7	131	3	NA	NA	NA	NA	NA	NA	NA
1	101898.6020765	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/110/cluster_posteriors.tsv.gz	4	128	3	NA	NA	NA	NA	NA	NA	NA
1	101287.31708843	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/111/cluster_posteriors.tsv.gz	9	130	4	NA	NA	NA	NA	NA	NA	NA
1	101887.844299615	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/112/cluster_posteriors.tsv.gz	5	130	3	NA	NA	NA	NA	NA	NA	NA
1	121477.639395558	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/113/cluster_posteriors.tsv.gz	2	127	2	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/114/cluster_posteriors.tsv.gz	1	128	1	NA	NA	NA	NA	NA	NA	NA
1	100511.927553563	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/115/cluster_posteriors.tsv.gz	13	130	5	NA	NA	NA	NA	NA	NA	NA
1	101049.949100305	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/116/cluster_posteriors.tsv.gz	8	129	4	NA	NA	NA	NA	NA	NA	NA
1	121480.43982745	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/117/cluster_posteriors.tsv.gz	2	128	2	NA	NA	NA	NA	NA	NA	NA
1	100035.679252994	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/118/cluster_posteriors.tsv.gz	14	129	6	NA	NA	NA	NA	NA	NA	NA
1	101888.443042204	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/119/cluster_posteriors.tsv.gz	6	130	3	NA	NA	NA	NA	NA	NA	NA
1	101883.759403507	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/12/cluster_posteriors.tsv.gz	7	130	3	NA	NA	NA	NA	NA	NA	NA
1	101932.525853542	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/120/cluster_posteriors.tsv.gz	4	130	3	NA	NA	NA	NA	NA	NA	NA
1	95611.9253713389	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/121/cluster_posteriors.tsv.gz	27	131	8	NA	NA	NA	NA	NA	NA	NA
1	101870.575269889	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/122/cluster_posteriors.tsv.gz	4	128	3	NA	NA	NA	NA	NA	NA	NA
1	99663.0029662605	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/123/cluster_posteriors.tsv.gz	19	129	7	NA	NA	NA	NA	NA	NA	NA
1	121472.170021777	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/124/cluster_posteriors.tsv.gz	2	129	2	NA	NA	NA	NA	NA	NA	NA
1	99940.0711714651	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/125/cluster_posteriors.tsv.gz	15	130	6	NA	NA	NA	NA	NA	NA	NA
1	205656.194180642	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/126/cluster_posteriors.tsv.gz	1	127	1	NA	NA	NA	NA	NA	NA	NA
1	121480.375803861	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/K562_Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/127/cluster_posteriors.tsv.gz	2	130	2	NA	NA	NA	NA	NA	NA	NA
