"cell_id","cluster.TSS","cluster.GB","cluster.CpG_Is"
"Lnuclei-pool52-S1-B",2,2,2
"Lnuclei-pool52-S1-C",1,1,2
"Lnuclei-pool53-S1-B",2,2,2
"Lnuclei-pool54-S1-A",2,2,2
"Lnuclei-pool54-S1-D",2,2,2
"Lnuclei-pool55-S1-A",2,2,2
"Lnuclei-pool55-S1-D",2,2,2
"Lnuclei-pool56-S1-A",2,2,2
"Lnuclei-pool56-S1-C",2,2,2
"Lnuclei-pool56-S1-D",2,2,2
"Lnuclei-pool57-S1-A",2,2,2
"Lnuclei-pool57-S1-B",2,2,2
"Lnuclei-pool57-S1-C",2,2,2
"Lnuclei-pool58-S1-A",2,2,2
"Lnuclei-pool58-S1-B",2,2,2
"Lnuclei-pool58-S1-C",2,2,2
"Lnuclei-pool58-S1-D",2,2,2
"Lnuclei-pool59-S1-C",2,2,2
"Lnuclei-pool60-S1-A",2,2,2
"Lnuclei-pool60-S1-C",2,2,2
"Lnuclei-pool60-S1-D",2,2,2
"Lnuclei-pool76-S7-A-TAGCTT",2,2,2
"Lnuclei-pool76-S7-B-ACTTGA",2,2,2
"Lnuclei-pool76-S7-J-GACGAG",2,2,2
"Lnuclei-pool76-S7-L-TGTAGC",2,2,2
"Lnuclei-pool76-S7-N-CTACTG",2,2,2
"Lnuclei-pool76-S7-P-GTATAC",2,2,2
"Lnuclei-pool77-S8-C-GCCAAT",2,2,2
"Lnuclei-pool77-S8-D-CGATGT",2,2,2
"Lnuclei-pool77-S8-J-GACGAG",2,2,2
"Lnuclei-pool77-S8-L-TGTAGC",2,2,2
"Lnuclei-pool77-S8-M-TTGGCA",2,2,2
"Lnuclei-pool77-S8-P-GTATAC",2,2,2
"Lnuclei-pool78-S9-C-GCCAAT",2,2,2
"Lnuclei-pool78-S9-L-TGTAGC",2,2,2
"Lnuclei-pool78-S9-N-CTACTG",2,2,2
"Lnuclei-pool78-S9-O-CATATG",2,2,2
"Lnuclei-pool78-S9-Q-ACCTTC",2,2,2
"Lnuclei-pool79-S10-A-TAGCTT",2,2,2
"Lnuclei-pool79-S10-B-ACTTGA",2,2,2
"Lnuclei-pool79-S10-D-CGATGT",2,2,2
"Lnuclei-pool79-S10-F-ATCACG",2,2,2
"Lnuclei-pool79-S10-I-CTTGTA",2,2,2
"Lnuclei-pool79-S10-J-GACGAG",2,2,2
"Lnuclei-pool79-S10-K-AAGGTC",2,2,2
"Lnuclei-pool79-S10-L-TGTAGC",2,2,2
"Lnuclei-pool79-S10-P-GTATAC",1,1,2
"Lnuclei-pool79-S10-Q-ACCTTC",2,2,2
"Lnuclei-pool80-S11-A-TAGCTT",2,2,2
"Lnuclei-pool80-S11-D-CGATGT",2,2,2
"Lnuclei-pool80-S11-G-TGACCA",2,2,2
"Lnuclei-pool80-S11-H-CAGATC",2,2,2
"Lnuclei-pool80-S11-I-CTTGTA",2,2,2
"Lnuclei-pool80-S11-K-AAGGTC",2,2,2
"Lnuclei-pool80-S11-M-TTGGCA",2,2,2
"Lnuclei-pool80-S11-N-CTACTG",2,2,2
"Lnuclei-pool80-S11-P-GTATAC",2,2,2
"Lnuclei-pool81-S12-B-ACTTGA",2,2,2
"Lnuclei-pool81-S12-C-GCCAAT",2,2,2
"Lnuclei-pool81-S12-D-CGATGT",2,2,2
"Lnuclei-pool81-S12-K-AAGGTC",2,2,2
"Lnuclei-pool81-S12-L-TGTAGC",2,2,2
"Lnuclei-pool81-S12-O-CATATG",2,2,2
"Lnuclei-pool82-S13-A-TAGCTT",2,2,2
"Lnuclei-pool82-S13-AA-GGAATG",2,2,2
"Lnuclei-pool82-S13-D-CGATGT",2,2,2
"Lnuclei-pool82-S13-F-ATCACG",2,1,2
"Lnuclei-pool82-S13-FF-TTCCCG",2,2,2
"Lnuclei-pool82-S13-GG-GATCAT",2,2,2
"Lnuclei-pool82-S13-H-CAGATC",2,2,2
"Lnuclei-pool82-S13-I-CTTGTA",2,2,2
"Lnuclei-pool82-S13-J-GACGAG",2,2,2
"Lnuclei-pool82-S13-K-AAGGTC",2,2,2
"Lnuclei-pool82-S13-M-TTGGCA",2,2,2
"Lnuclei-pool82-S13-O-CATATG",2,2,2
"Lnuclei-pool82-S13-P-GTATAC",2,2,2
"Lnuclei-pool82-S13-Q-ACCTTC",2,2,2
"Lnuclei-pool82-S13-V-CAAGGA",2,2,2
"Lnuclei-pool82-S13-X-CCGTAA",2,2,2
"Lnuclei-pool83-S14-B-ACTTGA",2,2,2
"Lnuclei-pool83-S14-BB-GCTTCA",2,2,2
"Lnuclei-pool83-S14-C-GCCAAT",2,2,2
"Lnuclei-pool83-S14-D-CGATGT",2,2,2
"Lnuclei-pool83-S14-EE-AACCTG",2,2,2
"Lnuclei-pool83-S14-GG-GATCAT",2,2,2
"Lnuclei-pool83-S14-HH-GCACTT",2,2,2
"Lnuclei-pool83-S14-J-GACGAG",2,2,2
"Lnuclei-pool83-S14-K-AAGGTC",2,2,2
"Lnuclei-pool83-S14-L-TGTAGC",2,2,2
"Lnuclei-pool83-S14-M-TTGGCA",2,2,2
"Lnuclei-pool83-S14-N-CTACTG",2,2,2
"Lnuclei-pool83-S14-O-CATATG",2,2,2
"Lnuclei-pool83-S14-T-AGCATC",2,2,2
"Lnuclei-pool83-S14-U-TACCGA",2,2,2
"Lnuclei-pool83-S14-X-CCGTAA",2,2,2
"Lnuclei-pool83-S14-Z-AGGTCT",2,2,2
"Lnuclei-pool84-S15-B-ACTTGA",2,2,2
"Lnuclei-pool84-S15-BB-GCTTCA",1,1,2
"Lnuclei-pool84-S15-C-GCCAAT",2,2,2
"Lnuclei-pool84-S15-CC-TCCTAT",2,2,2
"Lnuclei-pool84-S15-DD-TAAGGC",2,2,2
"Lnuclei-pool84-S15-GG-GATCAT",1,2,2
"Lnuclei-pool84-S15-HH-GCACTT",2,2,2
"Lnuclei-pool84-S15-I-CTTGTA",2,2,2
"Lnuclei-pool84-S15-K-AAGGTC",2,2,2
"Lnuclei-pool84-S15-M-TTGGCA",2,2,2
"Lnuclei-pool84-S15-O-CATATG",2,2,2
"Lnuclei-pool84-S15-R-CTTCCA",2,2,2
"Lnuclei-pool84-S15-S-CGAATG",2,2,2
"Lnuclei-pool84-S15-T-AGCATC",2,2,2
"Lnuclei-pool84-S15-U-TACCGA",2,2,2
"Lnuclei-pool84-S15-X-CCGTAA",2,2,2
"Lnuclei-pool84-S15-Y-ATAGAC",2,2,2
"Lnuclei-pool84-S15-Z-AGGTCT",2,2,2
"Lnuclei-pool85-S16-A-TAGCTT",2,2,2
"Lnuclei-pool85-S16-C-GCCAAT",2,2,2
"Lnuclei-pool85-S16-D-CGATGT",2,2,2
"Lnuclei-pool85-S16-F-ATCACG",2,2,2
"Lnuclei-pool85-S16-H-CAGATC",2,2,2
"Lnuclei-pool85-S16-I-CTTGTA",2,2,2
"Lnuclei-pool85-S16-K-AAGGTC",2,2,2
"Lnuclei-pool85-S16-N-CTACTG",2,2,2
"Lnuclei-pool85-S16-O-CATATG",2,2,2
"Lnuclei-pool85-S16-Q-ACCTTC",2,2,2
"Lnuclei-pool86-S17-A-TAGCTT",2,2,2
"Lnuclei-pool86-S17-AA-GGAATG",2,2,2
"Lnuclei-pool86-S17-B-ACTTGA",2,2,2
"Lnuclei-pool86-S17-BB-GCTTCA",2,2,2
"Lnuclei-pool86-S17-D-CGATGT",2,2,2
"Lnuclei-pool86-S17-DD-TAAGGC",2,2,2
"Lnuclei-pool86-S17-EE-AACCTG",2,2,2
"Lnuclei-pool86-S17-HH-GCACTT",2,2,2
"Lnuclei-pool86-S17-I-CTTGTA",2,2,2
"Lnuclei-pool86-S17-J-GACGAG",2,2,2
"Lnuclei-pool86-S17-K-AAGGTC",2,2,2
"Lnuclei-pool86-S17-L-TGTAGC",2,2,2
"Lnuclei-pool86-S17-M-TTGGCA",2,2,2
"Lnuclei-pool86-S17-P-GTATAC",2,2,2
"Lnuclei-pool86-S17-S-CGAATG",2,2,2
"Lnuclei-pool86-S17-T-AGCATC",2,2,2
"Lnuclei-pool86-S17-U-TACCGA",2,2,2
"Lnuclei-pool86-S17-V-CAAGGA",2,2,2
"Lnuclei-pool86-S17-Y-ATAGAC",2,2,2
"Lnuclei-pool86-S17-Z-AGGTCT",2,2,2
"Lnuclei-pool87-S18-A-TAGCTT",2,2,2
