converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	250210.851632682	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/0/cluster_posteriors.tsv.gz	259	151	2	NA	NA	NA	NA	NA	NA	NA
1	217424.004120806	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/1/cluster_posteriors.tsv.gz	33	150	2	NA	NA	NA	NA	NA	NA	NA
1	250210.851632682	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/10/cluster_posteriors.tsv.gz	257	149	2	NA	NA	NA	NA	NA	NA	NA
1	216986.921318	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/100/cluster_posteriors.tsv.gz	11	148	3	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/101/cluster_posteriors.tsv.gz	2	149	1	NA	NA	NA	NA	NA	NA	NA
1	216622.828788095	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/102/cluster_posteriors.tsv.gz	32	148	9	NA	NA	NA	NA	NA	NA	NA
1	215413.266259892	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/103/cluster_posteriors.tsv.gz	24	149	5	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/104/cluster_posteriors.tsv.gz	1	147	1	NA	NA	NA	NA	NA	NA	NA
1	214005.019337463	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/105/cluster_posteriors.tsv.gz	26	152	7	NA	NA	NA	NA	NA	NA	NA
1	216607.93067446	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/106/cluster_posteriors.tsv.gz	16	146	5	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/107/cluster_posteriors.tsv.gz	2	149	1	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/108/cluster_posteriors.tsv.gz	2	148	1	NA	NA	NA	NA	NA	NA	NA
1	216990.83920662	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/109/cluster_posteriors.tsv.gz	35	149	9	NA	NA	NA	NA	NA	NA	NA
1	217424.004120806	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/11/cluster_posteriors.tsv.gz	31	149	2	NA	NA	NA	NA	NA	NA	NA
1	212511.782227552	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/110/cluster_posteriors.tsv.gz	29	149	9	NA	NA	NA	NA	NA	NA	NA
1	217434.044942947	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/111/cluster_posteriors.tsv.gz	9	149	2	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/112/cluster_posteriors.tsv.gz	1	147	1	NA	NA	NA	NA	NA	NA	NA
1	217409.262938364	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/113/cluster_posteriors.tsv.gz	8	146	2	NA	NA	NA	NA	NA	NA	NA
1	216141.546100688	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/114/cluster_posteriors.tsv.gz	35	150	8	NA	NA	NA	NA	NA	NA	NA
1	217403.135149939	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/115/cluster_posteriors.tsv.gz	12	149	4	NA	NA	NA	NA	NA	NA	NA
1	211697.201606594	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/116/cluster_posteriors.tsv.gz	20	149	6	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/117/cluster_posteriors.tsv.gz	1	146	1	NA	NA	NA	NA	NA	NA	NA
1	209220.596308722	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/118/cluster_posteriors.tsv.gz	18	147	4	NA	NA	NA	NA	NA	NA	NA
1	217538.828705997	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/119/cluster_posteriors.tsv.gz	29	150	8	NA	NA	NA	NA	NA	NA	NA
1	209931.528247799	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/12/cluster_posteriors.tsv.gz	21	150	3	NA	NA	NA	NA	NA	NA	NA
1	217410.243469574	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/120/cluster_posteriors.tsv.gz	8	148	2	NA	NA	NA	NA	NA	NA	NA
1	216369.41456208	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/121/cluster_posteriors.tsv.gz	32	152	8	NA	NA	NA	NA	NA	NA	NA
1	216047.959711123	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/122/cluster_posteriors.tsv.gz	29	152	9	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/123/cluster_posteriors.tsv.gz	1	146	1	NA	NA	NA	NA	NA	NA	NA
1	217408.646826093	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/124/cluster_posteriors.tsv.gz	9	147	2	NA	NA	NA	NA	NA	NA	NA
1	216429.25731042	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/125/cluster_posteriors.tsv.gz	10	148	3	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/126/cluster_posteriors.tsv.gz	2	148	1	NA	NA	NA	NA	NA	NA	NA
1	213271.463565451	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/127/cluster_posteriors.tsv.gz	20	149	5	NA	NA	NA	NA	NA	NA	NA
1	285088.698521867	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/128/cluster_posteriors.tsv.gz	1	148	1	NA	NA	NA	NA	NA	NA	NA
1	210092.195174511	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/129/cluster_posteriors.tsv.gz	22	149	6	NA	NA	NA	NA	NA	NA	NA
1	201848.992488733	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/13/cluster_posteriors.tsv.gz	17	151	4	NA	NA	NA	NA	NA	NA	NA
1	213782.179741643	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/130/cluster_posteriors.tsv.gz	22	149	5	NA	NA	NA	NA	NA	NA	NA
1	212870.756313899	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/131/cluster_posteriors.tsv.gz	16	147	5	NA	NA	NA	NA	NA	NA	NA
1	220250.776408887	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_basic/132/cluster_posteriors.tsv.gz	23	152	7	NA	NA	NA	NA	NA	NA	NA
