converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	224078.998890314	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	696	243	2	NA	NA	NA	NA	NA	NA	NA
1	217033.301435567	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/1/cluster_posteriors.tsv.gz	335	243	2	NA	NA	NA	NA	NA	NA	NA
1	224078.998890314	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/10/cluster_posteriors.tsv.gz	687	243	2	NA	NA	NA	NA	NA	NA	NA
1	208446.118593477	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/100/cluster_posteriors.tsv.gz	143	234	3	NA	NA	NA	NA	NA	NA	0
1	217028.921086706	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/101/cluster_posteriors.tsv.gz	72	234	2	NA	NA	NA	NA	NA	NA	NA
1	209251.659162638	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	136	234	3	NA	NA	NA	NA	NA	NA	0
1	284080.123307615	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/103/cluster_posteriors.tsv.gz	19	231	1	NA	NA	NA	NA	NA	NA	NA
1	201655.916469289	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/104/cluster_posteriors.tsv.gz	260	236	5	NA	NA	NA	NA	NA	NA	0
1	204682.602366226	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/105/cluster_posteriors.tsv.gz	230	244	4	NA	NA	NA	NA	NA	NA	0
1	193890.981052023	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_hg38/cluster/0_0.95_10000/epi_region/106/cluster_posteriors.tsv.gz	613	246	9	NA	NA	NA	NA	NA	NA	0
