cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool51-S1-A	1.0	5.443548399515018e-33	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149	5.3946336768108475e-149
Lnuclei-pool51-S1-B	1.0	2.681177442381929e-49	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122	6.602659220163799e-122
Lnuclei-pool51-S1-C	1.0	1.0875772139021707e-79	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152	3.1297185340178665e-152
Lnuclei-pool51-S1-D	1.0	2.146778956682818e-35	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136	8.098936318260114e-136
Lnuclei-pool52-S1-A	1.0	1.6272848478186073e-83	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128	2.317755378685371e-128
Lnuclei-pool52-S1-B	4.1167726602975356e-20	1.0	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52	6.148333528159153e-52
Lnuclei-pool52-S1-C	1.0	5.763053623277935e-40	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160	2.504889158072703e-160
Lnuclei-pool53-S1-A	1.0	2.5411950940052445e-109	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203	8.290761001911217e-203
Lnuclei-pool53-S1-B	3.954185992430846e-98	1.0	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220	5.4228424230392555e-220
Lnuclei-pool53-S1-C	1.0	6.57061223855107e-84	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175	1.7671504207727838e-175
Lnuclei-pool53-S1-D	1.0	5.299784051577198e-70	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160	1.6499446762118346e-160
Lnuclei-pool54-S1-A	5.628829113386263e-142	1.0	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217	1.462214352678806e-217
Lnuclei-pool54-S1-B	1.0	7.140302234119812e-193	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool54-S1-C	1.0	2.1613696733944318e-183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool54-S1-D	4.3670990512328345e-141	1.0	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300	8.97754000303705e-300
Lnuclei-pool55-S1-A	3.339301353397159e-128	1.0	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258	1.0572002656952795e-258
Lnuclei-pool55-S1-B	1.0	1.1553047796175674e-243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool55-S1-C	1.0	6.43870108954748e-175	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool55-S1-D	4.4358837266697885e-178	1.0	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268	2.1254694943876844e-268
Lnuclei-pool56-S1-A	1.1927671421610854e-186	1.0	5.9e-322	5.9e-322	5.9e-322	5.9e-322	5.9e-322	5.9e-322	5.9e-322	5.9e-322
Lnuclei-pool56-S1-B	1.0	9.611005027042886e-141	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool56-S1-C	1.3398570776718348e-162	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool56-S1-D	5.628870581380229e-197	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Lnuclei-pool57-S1-A	1.5565840244792822e-181	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
