converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	229175.587783958	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/0/cluster_posteriors.tsv.gz	59	146	1	NA	NA	NA	NA	NA	NA	NA
1	187594.010490412	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/1/cluster_posteriors.tsv.gz	35	146	2	NA	NA	NA	NA	NA	NA	NA
1	229175.587783958	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/10/cluster_posteriors.tsv.gz	60	144	1	NA	NA	NA	NA	NA	NA	NA
1	229175.587783901	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/100/cluster_posteriors.tsv.gz	6	154	1	NA	NA	NA	NA	NA	NA	NA
1	187311.339082026	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/101/cluster_posteriors.tsv.gz	15	157	4	NA	NA	NA	NA	NA	NA	NA
1	187653.992404749	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/102/cluster_posteriors.tsv.gz	28	158	6	NA	NA	NA	NA	NA	NA	NA
1	223894.529729397	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/103/cluster_posteriors.tsv.gz	36	142	6	NA	NA	NA	NA	NA	NA	NA
1	184585.61939783	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/104/cluster_posteriors.tsv.gz	15	157	4	NA	NA	NA	NA	NA	NA	NA
1	227469.637064662	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/105/cluster_posteriors.tsv.gz	53	160	9	NA	NA	NA	NA	NA	NA	NA
1	184987.372999448	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_basic/106/cluster_posteriors.tsv.gz	26	158	5	NA	NA	NA	NA	NA	NA	NA
