converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	229156.128536088	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	866	346	1	NA	NA	NA	NA	NA	NA	NA
1	187456.61821637	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/1/cluster_posteriors.tsv.gz	898	347	2	NA	NA	NA	NA	NA	NA	NA
1	229156.128536088	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/10/cluster_posteriors.tsv.gz	858	346	1	NA	NA	NA	NA	NA	NA	NA
1	184904.161929581	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/100/cluster_posteriors.tsv.gz	318	346	3	NA	NA	NA	NA	NA	NA	0
1	189581.604106368	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/101/cluster_posteriors.tsv.gz	1438	384	9	NA	NA	NA	NA	NA	NA	0
1	184916.51353784	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	331	346	3	NA	NA	NA	NA	NA	NA	0
1	220490.557877023	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/103/cluster_posteriors.tsv.gz	1100	376	7	NA	NA	NA	NA	NA	NA	0
1	186771.591215726	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/104/cluster_posteriors.tsv.gz	1715	384	9	NA	NA	NA	NA	NA	NA	0
1	187470.269915734	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/105/cluster_posteriors.tsv.gz	184	346	2	NA	NA	NA	NA	NA	NA	NA
1	220945.034754411	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/106/cluster_posteriors.tsv.gz	720	355	5	NA	NA	NA	NA	NA	NA	0
