converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	229156.128536088	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	866	346	1	NA	NA	NA	NA	NA	NA	NA
1	187439.242716922	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/21/cluster_posteriors.tsv.gz	922	346	2	NA	NA	NA	NA	NA	NA	NA
1	183537.073473461	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/22/cluster_posteriors.tsv.gz	1081	346	3	NA	NA	NA	NA	NA	NA	0
1	182424.227224367	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/13/cluster_posteriors.tsv.gz	1162	397	4	NA	NA	NA	NA	NA	NA	0
1	179879.868376314	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/14/cluster_posteriors.tsv.gz	1317	346	5	NA	NA	NA	NA	NA	NA	0
1	180586.250685907	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/15/cluster_posteriors.tsv.gz	1427	346	6	NA	NA	NA	NA	NA	NA	0
1	180566.118966058	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/16/cluster_posteriors.tsv.gz	1452	346	7	NA	NA	NA	NA	NA	NA	0
1	177790.701256016	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/27/cluster_posteriors.tsv.gz	1623	397	8	NA	NA	NA	NA	NA	NA	0
1	175281.619912826	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/28/cluster_posteriors.tsv.gz	1585	346	9	NA	NA	NA	NA	NA	NA	0
1	175220.89145497	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_gene_bodies_hg38/cluster/0_0.95_10000/epi_region/29/cluster_posteriors.tsv.gz	1691	354	10	NA	NA	NA	NA	NA	NA	0
