cell_id	0	1	2	3	4	5	6	7	8	9
Lnuclei-pool51-S1-A	1.0	1.2966752617925766e-48	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91	1.3290036186158977e-91
Lnuclei-pool51-S1-B	1.0	1.787057702743332e-58	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70	2.724079320514221e-70
Lnuclei-pool51-S1-C	1.0	2.8723667948347155e-86	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112	2.9054150501348655e-112
Lnuclei-pool51-S1-D	1.0	2.559812026567596e-48	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79	2.999486647443773e-79
Lnuclei-pool52-S1-A	1.0	1.410865957486507e-59	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63	1.5962717379907995e-63
Lnuclei-pool52-S1-B	3.0082418729223297e-25	1.0	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44	8.337581799927664e-44
Lnuclei-pool52-S1-C	1.0	7.955615983077364e-31	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75	3.1325083721706683e-75
Lnuclei-pool53-S1-A	1.0	1.1119076315098668e-117	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139	7.300261522537262e-139
Lnuclei-pool53-S1-B	1.2196592872219391e-73	1.0	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146	1.8105681297023712e-146
Lnuclei-pool53-S1-C	1.0	2.7100919828651434e-90	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103	1.5291631803106142e-103
