converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	266296.381730909	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/0/cluster_posteriors.tsv.gz	15	166	1	NA	NA	NA	NA	NA	NA	NA
1	266296.380527211	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/1/cluster_posteriors.tsv.gz	16	163	1	NA	NA	NA	NA	NA	NA	NA
1	266296.381730909	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/10/cluster_posteriors.tsv.gz	16	166	1	NA	NA	NA	NA	NA	NA	NA
1	279532.126547079	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/100/cluster_posteriors.tsv.gz	23	163	9	NA	NA	NA	NA	NA	NA	NA
1	270975.165332185	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/101/cluster_posteriors.tsv.gz	16	163	6	NA	NA	NA	NA	NA	NA	NA
1	274468.456866474	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/102/cluster_posteriors.tsv.gz	18	163	7	NA	NA	NA	NA	NA	NA	NA
1	265033.924007663	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/103/cluster_posteriors.tsv.gz	4	161	2	NA	NA	NA	NA	NA	NA	NA
1	271333.284762097	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/104/cluster_posteriors.tsv.gz	13	166	6	NA	NA	NA	NA	NA	NA	NA
1	228079.98197554	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/105/cluster_posteriors.tsv.gz	50	163	6	NA	NA	NA	NA	NA	NA	NA
1	232347.99953685	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/106/cluster_posteriors.tsv.gz	78	163	7	NA	NA	NA	NA	NA	NA	NA
1	226686.106656954	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/107/cluster_posteriors.tsv.gz	50	165	5	NA	NA	NA	NA	NA	NA	NA
1	268445.588314284	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/108/cluster_posteriors.tsv.gz	11	163	5	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/109/cluster_posteriors.tsv.gz	2	163	1	NA	NA	NA	NA	NA	NA	NA
1	223154.092816913	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/11/cluster_posteriors.tsv.gz	35	167	2	NA	NA	NA	NA	NA	NA	NA
1	275983.992047542	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/110/cluster_posteriors.tsv.gz	19	163	8	NA	NA	NA	NA	NA	NA	NA
1	224298.262521412	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/111/cluster_posteriors.tsv.gz	12	160	3	NA	NA	NA	NA	NA	NA	NA
1	273817.477277102	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/112/cluster_posteriors.tsv.gz	18	165	7	NA	NA	NA	NA	NA	NA	NA
1	228025.102256192	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/113/cluster_posteriors.tsv.gz	21	161	6	NA	NA	NA	NA	NA	NA	NA
1	265980.154460771	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/114/cluster_posteriors.tsv.gz	9	163	4	NA	NA	NA	NA	NA	NA	NA
1	223256.283039954	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/115/cluster_posteriors.tsv.gz	13	164	2	NA	NA	NA	NA	NA	NA	NA
1	273555.509056242	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/116/cluster_posteriors.tsv.gz	18	161	7	NA	NA	NA	NA	NA	NA	NA
1	223108.892502437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/117/cluster_posteriors.tsv.gz	25	161	4	NA	NA	NA	NA	NA	NA	NA
1	277005.634343513	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/118/cluster_posteriors.tsv.gz	24	163	9	NA	NA	NA	NA	NA	NA	NA
1	275843.005514299	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/119/cluster_posteriors.tsv.gz	21	166	8	NA	NA	NA	NA	NA	NA	NA
1	223154.104126829	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/12/cluster_posteriors.tsv.gz	35	168	2	NA	NA	NA	NA	NA	NA	NA
1	274072.972022628	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/120/cluster_posteriors.tsv.gz	18	163	7	NA	NA	NA	NA	NA	NA	NA
1	277524.327010832	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/121/cluster_posteriors.tsv.gz	24	162	9	NA	NA	NA	NA	NA	NA	NA
1	277051.070655594	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/122/cluster_posteriors.tsv.gz	21	165	8	NA	NA	NA	NA	NA	NA	NA
1	265258.251624328	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/123/cluster_posteriors.tsv.gz	5	163	3	NA	NA	NA	NA	NA	NA	NA
1	264657.058772768	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/124/cluster_posteriors.tsv.gz	5	160	2	NA	NA	NA	NA	NA	NA	NA
1	278264.563035066	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/125/cluster_posteriors.tsv.gz	23	161	9	NA	NA	NA	NA	NA	NA	NA
1	279891.697820503	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/126/cluster_posteriors.tsv.gz	24	165	9	NA	NA	NA	NA	NA	NA	NA
1	268697.343899958	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/127/cluster_posteriors.tsv.gz	11	164	5	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/128/cluster_posteriors.tsv.gz	2	163	1	NA	NA	NA	NA	NA	NA	NA
1	270796.061303497	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/129/cluster_posteriors.tsv.gz	13	163	6	NA	NA	NA	NA	NA	NA	NA
1	219765.820810069	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/13/cluster_posteriors.tsv.gz	39	165	3	NA	NA	NA	NA	NA	NA	NA
1	266290.270758902	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/130/cluster_posteriors.tsv.gz	9	163	4	NA	NA	NA	NA	NA	NA	NA
1	278397.327080521	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/131/cluster_posteriors.tsv.gz	24	161	9	NA	NA	NA	NA	NA	NA	NA
1	276760.510868181	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/132/cluster_posteriors.tsv.gz	21	164	8	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/133/cluster_posteriors.tsv.gz	2	161	1	NA	NA	NA	NA	NA	NA	NA
1	277842.840555794	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/134/cluster_posteriors.tsv.gz	22	163	8	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/135/cluster_posteriors.tsv.gz	2	159	1	NA	NA	NA	NA	NA	NA	NA
1	266264.444463525	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/136/cluster_posteriors.tsv.gz	9	163	4	NA	NA	NA	NA	NA	NA	NA
1	267237.158384177	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/137/cluster_posteriors.tsv.gz	9	164	4	NA	NA	NA	NA	NA	NA	NA
1	269043.678069563	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/138/cluster_posteriors.tsv.gz	11	162	5	NA	NA	NA	NA	NA	NA	NA
1	267016.801982748	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/139/cluster_posteriors.tsv.gz	9	161	4	NA	NA	NA	NA	NA	NA	NA
1	216747.993860223	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/14/cluster_posteriors.tsv.gz	41	161	4	NA	NA	NA	NA	NA	NA	NA
1	273457.123506829	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/140/cluster_posteriors.tsv.gz	19	165	7	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/141/cluster_posteriors.tsv.gz	2	160	1	NA	NA	NA	NA	NA	NA	NA
1	268194.10225005	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/142/cluster_posteriors.tsv.gz	12	163	5	NA	NA	NA	NA	NA	NA	NA
1	268730.659645648	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/143/cluster_posteriors.tsv.gz	11	164	5	NA	NA	NA	NA	NA	NA	NA
1	222838.698891014	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/144/cluster_posteriors.tsv.gz	18	162	4	NA	NA	NA	NA	NA	NA	NA
1	276545.109492271	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/145/cluster_posteriors.tsv.gz	21	166	8	NA	NA	NA	NA	NA	NA	NA
1	278311.813724988	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/146/cluster_posteriors.tsv.gz	23	165	9	NA	NA	NA	NA	NA	NA	NA
1	269437.231399092	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/147/cluster_posteriors.tsv.gz	11	163	5	NA	NA	NA	NA	NA	NA	NA
1	266483.841108623	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/148/cluster_posteriors.tsv.gz	9	162	4	NA	NA	NA	NA	NA	NA	NA
1	269038.826330965	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/149/cluster_posteriors.tsv.gz	13	163	5	NA	NA	NA	NA	NA	NA	NA
1	215511.668298595	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/15/cluster_posteriors.tsv.gz	36	163	5	NA	NA	NA	NA	NA	NA	NA
1	235484.376070368	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/150/cluster_posteriors.tsv.gz	50	167	9	NA	NA	NA	NA	NA	NA	NA
1	266331.678210485	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/151/cluster_posteriors.tsv.gz	9	165	4	NA	NA	NA	NA	NA	NA	NA
1	223258.893103758	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/152/cluster_posteriors.tsv.gz	11	162	2	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/153/cluster_posteriors.tsv.gz	2	161	1	NA	NA	NA	NA	NA	NA	NA
1	268194.10225005	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/154/cluster_posteriors.tsv.gz	11	161	5	NA	NA	NA	NA	NA	NA	NA
1	270472.512299044	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/155/cluster_posteriors.tsv.gz	12	164	6	NA	NA	NA	NA	NA	NA	NA
1	223568.25250367	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/156/cluster_posteriors.tsv.gz	20	162	4	NA	NA	NA	NA	NA	NA	NA
1	269280.413770881	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/157/cluster_posteriors.tsv.gz	11	164	5	NA	NA	NA	NA	NA	NA	NA
1	268233.700285049	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/158/cluster_posteriors.tsv.gz	13	163	5	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/159/cluster_posteriors.tsv.gz	3	162	1	NA	NA	NA	NA	NA	NA	NA
1	214143.317752495	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/16/cluster_posteriors.tsv.gz	32	168	6	NA	NA	NA	NA	NA	NA	NA
1	266296.35813437	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/160/cluster_posteriors.tsv.gz	2	159	1	NA	NA	NA	NA	NA	NA	NA
1	265083.316710849	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/161/cluster_posteriors.tsv.gz	5	163	3	NA	NA	NA	NA	NA	NA	NA
1	223298.974582326	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/162/cluster_posteriors.tsv.gz	10	161	2	NA	NA	NA	NA	NA	NA	NA
1	269437.231399092	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/163/cluster_posteriors.tsv.gz	11	163	5	NA	NA	NA	NA	NA	NA	NA
1	228215.022981971	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/164/cluster_posteriors.tsv.gz	39	163	6	NA	NA	NA	NA	NA	NA	NA
1	276023.699346712	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/165/cluster_posteriors.tsv.gz	21	165	8	NA	NA	NA	NA	NA	NA	NA
1	223365.28553571	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/166/cluster_posteriors.tsv.gz	18	165	4	NA	NA	NA	NA	NA	NA	NA
1	264883.285281372	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/167/cluster_posteriors.tsv.gz	7	164	3	NA	NA	NA	NA	NA	NA	NA
1	269030.188284514	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/168/cluster_posteriors.tsv.gz	11	163	5	NA	NA	NA	NA	NA	NA	NA
1	222617.869932023	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/169/cluster_posteriors.tsv.gz	15	163	3	NA	NA	NA	NA	NA	NA	NA
1	214504.45997982	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/17/cluster_posteriors.tsv.gz	36	166	7	NA	NA	NA	NA	NA	NA	NA
1	266991.351589771	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/170/cluster_posteriors.tsv.gz	9	159	4	NA	NA	NA	NA	NA	NA	NA
1	276635.537747687	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/171/cluster_posteriors.tsv.gz	21	165	8	NA	NA	NA	NA	NA	NA	NA
1	226104.241391086	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/172/cluster_posteriors.tsv.gz	41	165	5	NA	NA	NA	NA	NA	NA	NA
1	276209.912580561	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/173/cluster_posteriors.tsv.gz	20	163	8	NA	NA	NA	NA	NA	NA	NA
1	270255.850165085	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/174/cluster_posteriors.tsv.gz	12	161	6	NA	NA	NA	NA	NA	NA	NA
1	269275.63639116	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/175/cluster_posteriors.tsv.gz	11	165	5	NA	NA	NA	NA	NA	NA	NA
1	226378.426543786	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/176/cluster_posteriors.tsv.gz	36	163	5	NA	NA	NA	NA	NA	NA	NA
1	222238.033493217	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/177/cluster_posteriors.tsv.gz	16	163	3	NA	NA	NA	NA	NA	NA	NA
1	270516.211593825	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/178/cluster_posteriors.tsv.gz	13	166	6	NA	NA	NA	NA	NA	NA	NA
1	223280.879336447	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/179/cluster_posteriors.tsv.gz	9	163	2	NA	NA	NA	NA	NA	NA	NA
1	214578.197759528	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/18/cluster_posteriors.tsv.gz	36	168	8	NA	NA	NA	NA	NA	NA	NA
1	226308.996312725	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/180/cluster_posteriors.tsv.gz	20	164	4	NA	NA	NA	NA	NA	NA	NA
1	265113.415269527	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/181/cluster_posteriors.tsv.gz	8	165	3	NA	NA	NA	NA	NA	NA	NA
1	278430.549566904	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/182/cluster_posteriors.tsv.gz	23	162	9	NA	NA	NA	NA	NA	NA	NA
1	271761.450743599	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_basic/183/cluster_posteriors.tsv.gz	13	165	6	NA	NA	NA	NA	NA	NA	NA
