converged	score	run	cpu_time	memory	nclusters_pred	all_vmeasure	clone_prev_MAE	clone_prev_MSE	slsbulk_clone_prev_MSE	slsbulk_vmeasure	slsbulk_clone_prev_MAE	uncertainty
1	266044.287571832	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/0/cluster_posteriors.tsv.gz	249	326	1	NA	NA	NA	NA	NA	NA	NA
1	266044.287445458	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/1/cluster_posteriors.tsv.gz	249	333	1	NA	NA	NA	NA	NA	NA	NA
1	266044.287571832	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/10/cluster_posteriors.tsv.gz	256	333	1	NA	NA	NA	NA	NA	NA	NA
1	221327.769548447	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/100/cluster_posteriors.tsv.gz	223	330	3	NA	NA	NA	NA	NA	NA	0
1	223953.291642692	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/101/cluster_posteriors.tsv.gz	689	331	7	NA	NA	NA	NA	NA	NA	0
1	268534.532107416	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/102/cluster_posteriors.tsv.gz	837	328	9	NA	NA	NA	NA	NA	NA	0.0065359477124183
1	222039.819160331	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/103/cluster_posteriors.tsv.gz	845	333	6	NA	NA	NA	NA	NA	NA	0
1	264080.057593922	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/104/cluster_posteriors.tsv.gz	135	329	3	NA	NA	NA	NA	NA	NA	0.00952380952380952
1	221996.295219511	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/105/cluster_posteriors.tsv.gz	413	332	5	NA	NA	NA	NA	NA	NA	0
1	264010.221689593	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/106/cluster_posteriors.tsv.gz	305	333	4	NA	NA	NA	NA	NA	NA	0.00595238095238095
1	229432.869384178	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/107/cluster_posteriors.tsv.gz	1552	328	9	NA	NA	NA	NA	NA	NA	0
1	268127.270559778	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/108/cluster_posteriors.tsv.gz	679	332	8	NA	NA	NA	NA	NA	NA	0.00680272108843537
1	220849.179333282	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/109/cluster_posteriors.tsv.gz	237	329	3	NA	NA	NA	NA	NA	NA	0.0263157894736842
1	222779.58901526	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/11/cluster_posteriors.tsv.gz	477	326	2	NA	NA	NA	NA	NA	NA	0
1	222868.485221157	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/110/cluster_posteriors.tsv.gz	118	328	2	NA	NA	NA	NA	NA	NA	0
1	264077.171359401	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/111/cluster_posteriors.tsv.gz	58	331	2	NA	NA	NA	NA	NA	NA	0
1	268846.911860207	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/112/cluster_posteriors.tsv.gz	552	330	8	NA	NA	NA	NA	NA	NA	0.0175438596491228
1	268192.43291335	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/113/cluster_posteriors.tsv.gz	689	332	9	NA	NA	NA	NA	NA	NA	0
1	220674.810368203	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/114/cluster_posteriors.tsv.gz	198	329	3	NA	NA	NA	NA	NA	NA	0
1	221448.428982672	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/115/cluster_posteriors.tsv.gz	679	333	6	NA	NA	NA	NA	NA	NA	0
1	266044.264089216	/crex/proj/uppstore2017165/nobackup/alva/scWGBS/Lnuclei_out_TSS_hg38/cluster/0_0.95_10000/epi_region/116/cluster_posteriors.tsv.gz	25	330	1	NA	NA	NA	NA	NA	NA	NA
