chr1:3425974-3426242	chr1:68050553-68050790	chr1:204257416-204257780	chr1:242056982-242057313	chr2:214011-214245	chr2:53859639-53860129	chr2:87825666-87825915	chr2:107544245-107544456	chr4:5568408-5568624	chr4:88697613-88697903	chr4:150582859-150583933	chr4:185638877-185639207	chr5:1277352-1277598	chr5:1339547-1339967	chr5:1416677-1416889	chr5:28809293-28810413	chr5:179257325-179257658	chr5:179559512-179559998	chr6:27871920-27872291	chr6:134176398-134176618	chr6:155218841-155219059	chr6:167719954-167720212	chr6:168535772-168535984	chr6:170275003-170275219	chr7:376426-376627	chr7:635932-636458	chr7:2020272-2020496	chr7:10779678-10780083	chr7:23490815-23491071	chr7:64192252-64192584	chr7:157594361-157594630	chr7:157784993-157785250	chr8:1026015-1026416	chr8:8963256-8963602	chr8:11613505-11613740	chr8:22010221-22010693	chr8:22056764-22057014	chr8:132129318-132129569	chr8:143379802-143380091	chr8:144270459-144270724	chr9:13323113-13323351	chr9:95313136-95313459	chr9:133701451-133701774	chr9:134049340-134049554	chr9:137217297-137217540	chr10:413752-414118	chr10:479779-480101	chr10:104268766-104269289	chr10:132924714-132925200	chr11:32437876-32438332	chr11:47378237-47378455	chr11:48968624-48968933	chr11:64085331-64085610	chr11:95150171-95150401	chr11:117481976-117482246	chr11:128451766-128452000	chr12:111037149-111037438	chr12:124387589-124387873	chr13:52195421-52195743	chr13:112036871-112037219	chr13:113023313-113023522	chr14:101442444-101442685	chr15:26628950-26629381	chr15:52794432-52794661	chr15:52795014-52795291	chr16:1027527-1027772	chr16:2036419-2036891	chr16:4680261-4680486	chr16:19183561-19183887	chr16:28740761-28741011	chr16:49638532-49638814	chr16:59754888-59755168	chr16:72787241-72787693	chr16:85948046-85948359	chr16:88103639-88103992	chr17:78450564-78450788	chr17:79942885-79943117	chr18:10589152-10589389	chr18:37336749-37336952	chr18:50268080-50268626	chr18:78313274-78313558	chr18:80147414-80147683	chr19:3387965-3388205	chr19:40623942-40624207	chr19:42199452-42199824	chr19:45677962-45678197	chr19:51887588-51888115	chr20:19974892-19975390	chr20:20452461-20452685	chr20:43513918-43514127	chr20:43514570-43514951	chr21:41756502-41756734	chr21:42106460-42106707	chr21:45984194-45984398	chr22:11598866-11599125	chr22:46439087-46439388	chr22:48646559-48646820	chr22:49102438-49102653	chrX:663882-664104	chrX:30247055-30247438	chrX:34131147-34131369
K562.pool70.S1.A.TAGCTT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.AA.GGAATG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.222222222222222	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.B.ACTTGA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.BB.GCTTCA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.C.GCCAAT	NA	0	NA	0.0714285714285714	0.0769230769230769	0.935483870967742	NA	0.0833333333333333	NA	1	NA	0	NA	1	NA	0	NA	1	1	1	NA	NA	0	0.181818181818182	0.230769230769231	0	NA	0	NA	0.111111111111111	0	0	0.0333333333333333	NA	0	0.95	NA	NA	0	1	NA	NA	0	NA	0	0.655555555555556	0.0714285714285714	1	0	0.909090909090909	NA	NA	NA	NA	0	NA	NA	1	1	NA	0	NA	NA	NA	NA	0.409090909090909	NA	0.876923076923077	0	1	0	0	NA	0.19047619047619	0	0	0.142857142857143	NA	0.285714285714286	1	NA	NA	1	0	0.0384615384615385	0.916666666666667	1	NA	NA	1	0	NA	0	0	0	NA	NA	NA	0	0.25	NA
K562.pool70.S1.CC.TCCTAT	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.D.CGATGT	NA	NA	0	0	0	NA	NA	NA	0.1	NA	1	0	NA	NA	0	0	0	NA	1	0.9375	0	0	0	NA	0	0.466666666666667	NA	NA	NA	0.128205128205128	0	0	0	NA	0	1	0	NA	0	NA	NA	1	0.2	NA	NA	NA	0	NA	0.285714285714286	0.977272727272727	0	NA	1	1	0	0	NA	1	NA	NA	0.125	NA	0.333333333333333	NA	NA	0	0.909722222222222	0.875	NA	NA	NA	0.0769230769230769	0.972222222222222	NA	0	NA	0	0	NA	NA	NA	NA	1	NA	NA	0.925	NA	0	NA	0	1	0.25	0.142857142857143	0	NA	0.0833333333333333	NA	0	NA	NA	NA
K562.pool70.S1.DD.TAAGGC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.EE.AACCTG	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
K562.pool70.S1.F.ATCACG	NA	0.4375	0	0	0	0.978723404255319	0	0.142857142857143	0.666666666666667	1	0.956521739130435	0.111111111111111	0	1	0	0	0.05	1	1	NA	0.142857142857143	0.333333333333333	0.666666666666667	0	0	0.0136986301369863	NA	0	NA	0.05	NA	0	0.0714285714285714	NA	NA	1	NA	NA	0	0.944444444444444	0	0.8125	0	0.666666666666667	0	0	0	NA	0	1	0	0.111111111111111	NA	1	0.354166666666667	0	0	0.4	NA	0	NA	0	0	NA	NA	NA	1	1	0	NA	0	NA	NA	0.0714285714285714	0	0.0625	NA	0	NA	1	NA	1	NA	0	0	NA	1	0	NA	0.933333333333333	1	0	NA	0	0	NA	0	0	0	NA	0.25
