K562-1-2	K562-1-3	K562-1-6	K562-1-7	K562-1-8	K562-1-SC3	K562-2-1	K562-4-1	K562-4-2	K562-4-3	K562-4-6	K562-4-7	K562-pool34-A-TAGCTT	K562-pool34-B-ACTTGA	K562-pool34-C-GCCAAT	K562-pool34-D-CGATGT	K562-pool34-F-ATCACG	K562-pool34-G-TGACCA	K562-pool34-H-CAGATC	K562-pool34-I-CTTGTA	K562-pool35-A-TAGCTT	K562-pool35-B-ACTTGA	K562-pool35-C-GCCAAT	K562-pool35-D-CGATGT	K562-pool35-F-ATCACG	K562-pool35-G-TGACCA	K562-pool35-H-CAGATC	K562-pool35-I-CTTGTA	K562-pool36-A-TAGCTT	K562-pool36-B-ACTTGA	K562-pool36-C-GCCAAT	K562-pool36-D-CGATGT	K562-pool36-F-ATCACG	K562-pool36-G-TGACCA	K562-pool36-H-CAGATC	K562-pool36-I-CTTGTA	K562-pool37-A-TAGCTT	K562-pool37-B-ACTTGA	K562-pool37-C-GCCAAT	K562-pool37-D-CGATGT	K562-pool37-F-ATCACG	K562-pool37-H-CAGATC	K562-pool37-I-CTTGTA	K562-pool52-A-TAGCTT	K562-pool52-B-ACTTGA	K562-pool52-C-GCCAAT	K562-pool52-D-CGATGT	K562-pool52-J-GACGAG	K562-pool52-K-AAGGTC	K562-pool52-L-TGTAGC	K562-pool52-M-TTGGCA	K562-pool53-F-ATCACG	K562-pool53-G-TGACCA	K562-pool53-H-CAGATC	K562-pool53-I-CTTGTA	K562-pool53-N-CTACTG	K562-pool53-O-CATATG	K562-pool53-P-GTATAC	K562-pool53-Q-ACCTTC	K562-pool54-A-TAGCTT	K562-pool54-B-ACTTGA	K562-pool54-C-GCCAAT	K562-pool54-D-CGATGT	K562-pool54-F-ATCACG	K562-pool54-G-TGACCA	K562-pool54-H-CAGATC	K562-pool54-I-CTTGTA	K562-pool54-J-GACGAG	K562-pool54-K-AAGGTC	K562-pool54-L-TGTAGC	K562-pool54-M-TTGGCA	K562-pool54-N-CTACTG	K562-pool54-O-CATATG	K562-pool54-P-GTATAC	K562-pool54-Q-ACCTTC	K562-pool55-A-TAGCTT	K562-pool55-B-ACTTGA	K562-pool55-C-GCCAAT	K562-pool55-F-ATCACG	K562-pool55-G-TGACCA	K562-pool55-H-CAGATC	K562-pool55-I-CTTGTA	K562-pool55-J-GACGAG	K562-pool55-K-AAGGTC	K562-pool55-L-TGTAGC	K562-pool55-M-TTGGCA	K562-pool55-N-CTACTG	K562-pool55-O-CATATG	K562-pool55-P-GTATAC	K562-pool55-Q-ACCTTC	K562-pool58-A-TAGCTT	K562-pool58-B-ACTTGA	K562-pool58-C-GCCAAT	K562-pool58-D-CGATGT	K562-pool58-F-ATCACG	K562-pool58-G-TGACCA	K562-pool58-H-CAGATC	K562-pool58-I-CTTGTA	K562-pool58-J-GACGAG	K562-pool58-K-AAGGTC	K562-pool58-L-TGTAGC	K562-pool58-M-TTGGCA	K562-pool58-N-CTACTG	K562-pool58-O-CATATG	K562-pool58-P-GTATAC	K562-pool58-Q-ACCTTC	K562-pool59-A-TAGCTT	K562-pool59-B-ACTTGA	K562-pool59-C-GCCAAT	K562-pool59-D-CGATGT	K562-pool59-F-ATCACG	K562-pool59-G-TGACCA	K562-pool59-H-CAGATC	K562-pool59-I-CTTGTA	K562-pool59-J-GACGAG	K562-pool59-K-AAGGTC	K562-pool59-L-TGTAGC	K562-pool59-M-TTGGCA	K562-pool59-N-CTACTG	K562-pool59-O-CATATG	K562-pool59-P-GTATAC	K562-pool59-Q-ACCTTC	K562-pool61-A-TAGCTT	K562-pool61-B-ACTTGA	K562-pool61-C-GCCAAT	K562-pool61-D-CGATGT	K562-pool61-F-ATCACG	K562-pool61-G-TGACCA	K562-pool61-H-CAGATC	K562-pool61-I-CTTGTA	K562-pool61-J-GACGAG	K562-pool61-K-AAGGTC	K562-pool61-L-TGTAGC	K562-pool61-M-TTGGCA	K562-pool61-N-CTACTG	K562-pool61-O-CATATG	K562-pool61-P-GTATAC	K562-pool61-Q-ACCTTC	K562-pool62-A-TAGCTT	K562-pool62-B-ACTTGA	K562-pool62-C-GCCAAT	K562-pool62-D-CGATGT	K562-pool62-F-ATCACG	K562-pool62-G-TGACCA	K562-pool62-H-CAGATC	K562-pool62-J-GACGAG	K562-pool62-K-AAGGTC	K562-pool62-L-TGTAGC	K562-pool62-M-TTGGCA	K562-pool62-N-CTACTG	K562-pool62-O-CATATG	K562-pool62-P-GTATAC	K562-pool62-Q-ACCTTC	K562-pool70-S1-C-GCCAAT	K562-pool70-S1-D-CGATGT	K562-pool70-S1-F-ATCACG	K562-pool70-S1-G-TGACCA	K562-pool70-S1-H-CAGATC	K562-pool70-S1-I-CTTGTA	K562-pool70-S1-J-GACGAG	K562-pool70-S1-K-AAGGTC	K562-pool70-S1-L-TGTAGC	K562-pool70-S1-M-TTGGCA	K562-pool70-S1-N-CTACTG	K562-pool70-S1-O-CATATG	K562-pool70-S1-P-GTATAC	K562-pool70-S1-Q-ACCTTC	K562-pool71-S2-B-ACTTGA	K562-pool71-S2-C-GCCAAT	K562-pool71-S2-D-CGATGT	K562-pool71-S2-F-ATCACG	K562-pool71-S2-G-TGACCA	K562-pool71-S2-H-CAGATC	K562-pool71-S2-I-CTTGTA	K562-pool71-S2-J-GACGAG	K562-pool71-S2-K-AAGGTC	K562-pool71-S2-L-TGTAGC	K562-pool71-S2-M-TTGGCA	K562-pool71-S2-O-CATATG	K562-pool71-S2-P-GTATAC	K562-pool71-S2-Q-ACCTTC	K562-pool72-S3-A-TAGCTT	K562-pool72-S3-B-ACTTGA	K562-pool72-S3-C-GCCAAT	K562-pool72-S3-D-CGATGT	K562-pool72-S3-F-ATCACG	K562-pool72-S3-G-TGACCA	K562-pool72-S3-H-CAGATC	K562-pool72-S3-I-CTTGTA	K562-pool72-S3-K-AAGGTC	K562-pool72-S3-L-TGTAGC	K562-pool72-S3-M-TTGGCA	K562-pool72-S3-N-CTACTG	K562-pool72-S3-O-CATATG	K562-pool72-S3-P-GTATAC	K562-pool72-S3-Q-ACCTTC	K562-pool73-S4-A-TAGCTT	K562-pool73-S4-B-ACTTGA	K562-pool73-S4-C-GCCAAT	K562-pool73-S4-D-CGATGT	K562-pool73-S4-F-ATCACG	K562-pool73-S4-G-TGACCA	K562-pool73-S4-H-CAGATC	K562-pool73-S4-I-CTTGTA	K562-pool73-S4-J-GACGAG	K562-pool73-S4-K-AAGGTC	K562-pool73-S4-L-TGTAGC	K562-pool73-S4-M-TTGGCA	K562-pool73-S4-N-CTACTG	K562-pool73-S4-O-CATATG	K562-pool73-S4-P-GTATAC	K562-pool73-S4-Q-ACCTTC	K562-pool74-S5-A-TAGCTT	K562-pool74-S5-B-ACTTGA	K562-pool74-S5-C-GCCAAT	K562-pool74-S5-D-CGATGT	K562-pool74-S5-F-ATCACG	K562-pool74-S5-G-TGACCA	K562-pool74-S5-H-CAGATC	K562-pool74-S5-I-CTTGTA	K562-pool74-S5-J-GACGAG	K562-pool74-S5-K-AAGGTC	K562-pool74-S5-L-TGTAGC	K562-pool74-S5-N-CTACTG	K562-pool74-S5-O-CATATG	K562-pool74-S5-P-GTATAC	K562-pool74-S5-Q-ACCTTC	K562-pool75-S6-A-TAGCTT	K562-pool75-S6-B-ACTTGA	K562-pool75-S6-C-GCCAAT	K562-pool75-S6-D-CGATGT	K562-pool75-S6-F-ATCACG	K562-pool75-S6-H-CAGATC	K562-pool75-S6-I-CTTGTA	K562-pool75-S6-J-GACGAG	K562-pool75-S6-K-AAGGTC	K562-pool75-S6-L-TGTAGC	K562-pool75-S6-M-TTGGCA	K562-pool75-S6-N-CTACTG	K562-pool75-S6-O-CATATG	K562-pool75-S6-P-GTATAC	K562-pool75-S6-Q-ACCTTC
chr1:629061-629433	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	0.2	1	NA	0	0	NA	0	0	0.333333333333333	NA	1	NA	NA	NA	NA	NA	0	0.833333333333333	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	0.25	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.666666666666667	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0	NA	0	1	NA	NA	NA	NA	NA	NA	0.25	0.619047619047619	0.333333333333333	0	NA	0.333333333333333	NA	NA	NA	NA	NA	NA	1	0.5	0.625	0.716666666666667	0.25	NA	0.642857142857143	NA	0	0.5	1	1	1	0.75	1	0	NA	0.5	0.166666666666667	1	0	NA	NA	0.75	NA	0.75	NA	0.8	1	0.238095238095238	NA	NA	1	NA	NA	NA	NA	1	NA	NA	0.5	0.75	1	NA	0.666666666666667	NA	NA	NA	1	NA	0.333333333333333	0.75	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0.0454545454545455	0	NA	NA	1	NA	NA
chr1:632324-632413	NA	NA	NA	NA	0.375	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	0.785714285714286	0.666666666666667	0.1875	0.5	NA	1	0.75	NA	0.5	0.666666666666667	NA	0	NA	NA	0	NA	NA	0.666666666666667	NA	NA	0	0.75	0.375	NA	0.75	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	0	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0.75	0.333333333333333	NA	NA	0	NA	NA	NA	0	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	0.625	NA	NA	0	NA	NA	NA	0	NA	0.75	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	0.214285714285714	0.428571428571429	NA	0.875	NA	NA	NA	0.833333333333333	NA	NA	0	NA	NA	NA	NA	NA	0	0.71875	NA	0.5	NA	NA	NA	1	0	NA	0.6875	0	NA	NA	NA	0.666666666666667	0.239583333333333	0	1	NA	0	NA	NA	0.375	NA	NA	0	1	0	0	1	0.166666666666667	0	0.833333333333333	0	NA	0.25	NA	1	0.875	NA	0.4375	0.604166666666667	0	0.833333333333333	NA	0.6875	0	0	0.75	NA	NA	NA	1	0.571428571428571	0	1	NA	1	NA	NA	1	0.541666666666667	0	0	0	0	NA	0	0	NA	0	NA	NA	1	0	NA	1	NA	NA	NA	NA	0	1	NA	0.857142857142857	NA
chr1:633534-633741	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	NA	1	0	NA	NA	NA	1	NA	1	1	NA	1	1	NA	NA	0	NA	1	0.5	NA	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	NA	1	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	0.5	NA	1	NA	NA	NA	NA	1	0	NA	0	NA	NA	NA	0	NA	NA	NA	1	NA	1	NA	0.666666666666667	0	0.75	0	0	0.5	NA	NA	1	NA	NA	NA	1	NA	0.75	1	1	NA	0.5	NA	1	NA	NA	1	NA	NA	1	NA	0	1	1	NA	NA	0.666666666666667	NA	NA	NA	NA	0	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0	NA	0	NA	NA	1	NA	NA	1	NA	1	1	0.333333333333333	NA	0.5	NA	0	NA	NA	NA	0.666666666666667	1	NA	NA	NA
chr1:1008075-1008229	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	0.75	NA	0.5	0	NA	0	NA	0.5	0.5	0.75	0.5	NA	0.5	1	1	NA	NA	NA	NA	0.5	NA	NA	0	0	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	0	NA	NA	0.5	NA	NA	0.5	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	0.25	NA	0	0	NA	NA	NA	0	0.5	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	1	0	0	0	1	NA	NA	NA	1	NA	0.5	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0.5	1	0.5	0.833333333333333	NA	NA	NA	NA	NA	1	NA	0	1	NA	NA	0.5	NA	1	1	NA	NA	NA	NA	NA	0.5	NA	0.5	0.5	NA	NA	NA	NA	1	0.5	0	NA	NA	NA	0	NA	NA	0.5	1	NA	1	0.5	NA	0.5	0.5	0.5	0.5	NA	0	NA	NA	NA	0.75	0.5	1	NA	1	1	NA	NA	0.5	NA	0	NA	NA	NA	1	NA	NA	NA	1
chr1:6205474-6208307	NA	NA	0.2	0	NA	0	NA	0.946428571428571	0.777777777777778	0.628571428571429	0.333333333333333	0.814814814814815	0.428571428571429	0	NA	0.32	0.944444444444444	0	0.5625	0.934782608695652	0	0.308641975308642	0.67741935483871	0	0.27536231884058	0.724806201550388	0.44047619047619	0.166666666666667	0.704545454545455	0.0882352941176471	0.0192307692307692	NA	0	0	0.444444444444445	NA	NA	0.0454545454545455	0.304347826086957	0.43859649122807	0.688172043010753	1	1	1	0.41025641025641	NA	0	NA	NA	0.8	NA	0.238738738738739	NA	0	NA	0.470588235294118	NA	0.578947368421053	0.05	NA	NA	NA	NA	0.384615384615385	NA	NA	0	0	0	NA	0.225925925925926	0.0348837209302326	0	0	NA	0.857142857142857	NA	NA	NA	1	0	0	NA	1	0.5	0	1	1	0	0	0	NA	NA	NA	NA	0.91304347826087	0.3125	NA	NA	1	NA	1	NA	0.96551724137931	NA	1	0	NA	0	NA	0.125	0.857142857142857	NA	NA	0.0833333333333333	NA	1	NA	NA	1	NA	NA	1	NA	0	NA	NA	NA	0	0	NA	NA	NA	0.651515151515151	0	NA	0	0	0.571428571428571	NA	0	0	NA	1	0.307291666666667	0.25	NA	NA	0	0	NA	1	0.0454545454545455	0	0.967741935483871	0	0.505555555555556	NA	0.342105263157895	0.875	0	0	0	0.233333333333333	0	0.652173913043478	0.75	0.461538461538462	0	0.0333333333333333	0.971428571428571	0.6875	0	0.876068376068376	NA	0.958333333333333	0.692307692307692	0	0	0.303921568627451	0.96	0.130630630630631	NA	0	NA	0.657894736842105	0.462962962962963	NA	0	0.888888888888889	0.553333333333333	0.716216216216216	NA	NA	0.243243243243243	0	0.0583333333333333	0.320707070707071	NA	0.276315789473684	1	0.4375	NA	0	0.615384615384615	1	0.25	0.75	0.4	1	1	0.909090909090909	NA	0.783928571428572	0	0.361111111111111	0.787878787878788	NA	0.578125	0.563414634146342	0.0666666666666667	0.5	0	0	0	0.957142857142857	1	0.476190476190476	0.818181818181818	0.693181818181818	0.875	NA	0.25462962962963	0.96875	0	0	0	0.8875	0.744047619047619	0	0.5390625	1
chr1:8907392-8907744	0.333333333333333	NA	NA	NA	NA	NA	NA	0	1	NA	NA	NA	NA	NA	0.5	1	0	1	0.611111111111111	0	NA	0.666666666666667	NA	NA	0.666666666666667	0.25	1	0	NA	0	1	1	NA	NA	NA	0	NA	0.333333333333333	NA	NA	NA	NA	0.5	NA	1	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0	0	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0.166666666666667	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	NA	0	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0.5	NA	NA	NA	NA	NA	NA	NA	0	0	1	NA	0.555555555555556	NA	NA	1	NA	0	NA	NA	NA	0	0.5	0	NA	NA	NA	0	0	0	NA	0	1	NA	NA	NA	NA	1	0	0.5	NA	NA	NA	0	0	NA	NA	NA	1	1	0	0.5	0	NA	NA	0	0	0.666666666666667	0.5	NA	1	0.5	NA	1	NA	0	0	0	0	1	0.666666666666667	NA	0.25	NA	0.5	0	NA	0.333333333333333	NA	0.833333333333333	0	1	NA	NA
chr1:12220793-12221109	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	NA	0	NA	0	1	1	0.5	1	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	1	1	NA	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	0.5	NA	0.666666666666667	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	0	NA	1	NA	1	NA	NA	NA	0	NA	1	NA	NA	1	NA	NA	NA	0	0.416666666666667	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0.5	1	1	1	NA	NA	NA	0	1	1	1	1	NA	0	1	1	NA	NA	NA	0.5	0	NA	NA	NA	0.5	0	NA	1	NA	0	NA	NA	NA	0.5	NA	1	0	NA	1	1	NA	1	NA	NA	1	0	NA	1	0	1	NA	1	0	1	NA	NA	0	0	1	NA	NA	NA	0.333333333333333	1	0.25	NA	NA	0	1	NA	NA	0.75
chr1:16197853-16198357	NA	NA	NA	NA	NA	NA	NA	0.5	0.5	1	NA	0	1	NA	NA	0.666666666666667	0	1	0	0	1	1	NA	1	1	0.333333333333333	0.833333333333333	NA	NA	0	0	0.5	0	0.5	0.5	0	NA	0	1	1	0.5	0	1	NA	NA	NA	NA	NA	NA	NA	0	NA	0	1	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	0.888888888888889	NA	NA	NA	NA	NA	0.5	NA	1	NA	0	NA	NA	NA	0.5	0.333333333333333	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0	0	NA	NA	0	1	NA	1	0	NA	NA	0.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	0	NA	NA	0.5	NA	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0.5	0	1	0	0.333333333333333	0	0	0	NA	NA	NA	0	0.5	0.5	0	0	0	1	NA	NA	1	0	NA	NA	0	0	0	0.333333333333333	0.166666666666667	NA	NA	0.333333333333333	NA	0	NA	NA	1	0.5	NA	NA	NA	1	0	1	0.5	0.333333333333333	0.5	0.111111111111111	0.333333333333333	1	1	0.666666666666667	0.5	NA	0.5	NA	1	0.333333333333333	0	NA	NA	0	0.25	NA	1	0.666666666666667	0.333333333333333	0.666666666666667	1	NA	NA	NA	0	0.666666666666667	0.166666666666666	0.5	1	NA	0.666666666666667	0.5	0	1	NA	0	NA	0.333333333333333	0.5	NA	NA	0
chr1:21073638-21073753	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	0	0.5	NA	NA	NA	NA	1	NA	NA	NA	0.5	NA	1	NA	NA	0.5	1	0	NA	NA	0.666666666666667	NA	NA	NA	1	NA	NA	0.5	NA	NA	NA	0.5	0.5	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.5	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	0.5	0	NA	NA	NA	NA	NA	NA	NA	0	NA	0.5	0	0.5	NA	NA	NA	NA	0.5	1	1	0.5	0.166666666666666	NA	NA	NA	0.5	NA	NA	NA	0.25	NA	0.75	NA	0.5	0	NA	NA	1	1	NA	NA	NA	0.5	NA	NA	NA	NA	1	NA	0	NA	0	NA	NA	NA	NA	NA	NA	NA	0.125	NA	NA	NA	1	NA	NA	NA	NA	NA	0.5	0.5	1	NA	NA	0	NA	NA	0	0.5	NA	NA	NA	NA	0.5	NA
chr1:22030655-22031126	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	1	NA	NA	1	0	NA	NA	NA	0.5	0	NA	NA	1	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	1	0	0	NA	NA	NA	NA	NA	NA	1	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0	NA	NA	0	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	1	1	1	NA	NA	NA	NA	1	NA	0	NA	NA	0	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	1	0	0	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	0	NA	0	1	NA	NA	NA	0.5	NA	NA	0	NA	1	1	NA	NA	NA	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	0	NA	NA	0	NA	NA	NA	0.6	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	0.5	NA	NA	1	NA
